lon,lat
151.167268920665,-10.9743491812206
149.512589016189,-9.76077283527814
147.998410710102,-8.6346018044069
146.874734332283,-7.14805782805383
145.947403542672,-5.77478296643807
144.827455423831,-3.67398749203406
145.495962729445,-1.96198338137987
148.76563482102,-2.56767086357711
151.423822707724,-3.41582401949421
152.977774253483,-5.11306374214101
156.430708558641,-7.05491257173785
158.513491544248,-8.87821677195959
163.014159771796,-10.4611990891576
165.979633676552,-10.9488706321986
166.570395090287,-11.0708359804543
169.86689401822156,-18.50272836810906
168.058006385138,-20.7867979905443
167.74655007975986,-23.525690045463193
167.435439767593,-25.9172887307629
167.653044999215,-27.9416053759626
167.661666264642,-29.980405504778
166.31635148743,-32.4223413835965
168.403813007832,-33.9774297301537
171.863206761019,-34.6285254703348
174.564550161713,-36.067811747253
177.89655096615823,-38.93356103113311
176.42017747961194,-40.83775353589211
174.856958493857,-42.85395736446048
171.9739632247931,-40.90612954141191
169.009342630228,-39.5106321864877
167.58032678472853,-38.47320081883605
166.2211442888812,-37.44880977775148
163.81749511055,-36.4620477683503
162.533421739842,-34.3678587514118
161.89072563932115,-32.45490345246419
162.14359680133924,-30.278072490159474
161.35337442003265,-27.973192647719188
160.59476093397834,-25.92441056555004
159.74132076216725,-24.771970644329897
159.45684070489688,-22.979286322431896
157.87639594228372,-22.210993041618472
155.44251100785945,-22.979286322431896
153.8620662452463,-23.8756284833809
153.13506165444423,-24.90001952446547
152.746299204264,-25.0358503350734
150.995238693709,-23.154995898662
148.937094887498,-20.6625624077573
146.885864880179,-18.5562541361668
145.135571166149,-16.3367748188701
145.055072783588,-15.3535007980701
144.909298310684,-14.6172112345985
143.366089832193,-12.7209045476171
142.723630346336,-10.4889796434461
143.373626521522,-8.57636932720597
144.909298310684,-8.0
147.533445206065,-10.4085697102914
149.377911894647,-10.9849606755344
151.167268920665,-10.9743491812206
