lon,lat
19.747420721039,-52.5933460107705
13.535702638735,-50.8167980595764
10.5102908654064,-51.7018633654628
7.79723914075447,-52.9774474736414
6.02406630299678,-53.7494485778085
2.93512794445508,-53.7494485778085
1.4209157856649,-52.3379648883583
0.718478661203402,-53.2342122486409
-0.174992286873586,-54.1373996141408
-4.3740582466978,-53.1057595322953
-5.55056392064118,-53.3628065598818
-5.6264303887531,-55.3093801592473
-9.29269564578913,-56.7592720863291
-11.7468021880556,-57.5587423100602
-12.8028681671965,-57.9608741087674
-16.6808482395067,-59.0413828517076
-19.3564055689439,-59.7229834377554
-27.7955571611057,-58.6347726794557
-29.8123786656085,-59.7229834377554
-35.1002382070835,-60.1343644714935
-40.1670636784725,-60.1343644714935
-43.3779742657461,-60.6857909248176
-48.5578161183182,-60.8241804058377
-51.6364847163788,-62.0796691367093
-53.2875534912045,-62.7852772000773
-58.8516729166926,-62.7852772000773
-61.1995049881731,-64.2151968576222
-64.0596174815116,-65.2320580902062
-64.8860307523361,-66.8590903149937
-64.4919781386267,-68.833315268028
-65.5050367935769,-71.6758173760207
-63.1052801318766,-72.8217661628026
-63.4372036081512,-74.3347478320045
-65.2529162170373,-76.2549708592934
-70.2007274315434,-80.4149156062209
-66.2034874736552,-81.2346938606754
-60.2390692952154,-81.6544075786599
-53.9583162955496,-81.2346938606754
-42.1504726595192,-81.2346938606754
-37.2521270915745,-79.2277941272517
-33.9976753913652,-77.7106676336607
-27.6607842851831,-75.899330458282
-20.3328449856901,-74.6776669907476
-15.35028515517,-73.6564340980475
-10.2808251524752,-72.0006834150007
-7.0504440568092,-70.7126716426225
3.71343837675341,-70.3952597811468
11.2219240169572,-70.5537458852677
16.380888802073,-69.9223795638268
20.4302589299937,-70.3952597811468
19.0439392224507,-70.7559995607194
24.0307849829113,-71.0783358981645
27.2877932431796,-70.9169365945157
31.3040396162672,-70.4354861615812
34.2971469674575,-69.3273341824422
38.1259528126945,-70.2758971236605
40.4928935345249,-68.8585696082802
43.2851960828683,-68.3932969384552
46.8816482221833,-67.7781444555481
49.5296823599041,-68.0849913624219
51.7960983010075,-66.5646721118298
54.3757332705778,-66.2646263128944
58.1220214098648,-67.0171852856027
60.8151617226355,-67.3205338242091
66.6425146194652,-67.7781444555481
69.0989789425194,-70.9169365945157
73.1408218233494,-69.958023825432
78.760604288091,-68.548007935414
82.7399644672421,-67.1686896909907
83.870264604726,-65.2242935371614
82.2800443120629,-63.6182956042129
81.4340897536588,-62.1861412611312
82.292313217612,-60.9178373336951
81.2871021658259,-59.5296577418192
78.2658639476501,-59.3919908941463
76.7266980112074,-58.7066610844171
77.8140808114283,-57.6201702168668
77.8787986067239,-56.8130189776627
76.0820635761869,-55.6139977378957
74.9351211983605,-54.1664403779157
74.3414452615858,-52.9957681163837
73.4385911619775,-51.5805496662324
71.9688500703547,-50.6883791774214
69.7089216804485,-50.561439624779
70.2036726899799,-49.6763449856449
73.6960960168357,-49.424557128121
74.7069396279051,-47.9236335312874
72.150018955482,-48.0480852395765
69.3340593548743,-48.672028441957
67.0362728027426,-48.1726483628282
65.8882968705789,-48.7971587673322
62.8523860119334,-49.2988421860794
60.2048327535742,-48.2973235686311
58.1434511453345,-48.9224045989642
56.9711825422605,-48.2973235686311
56.0608874079618,-47.4269276886607
54.5865704037507,-47.3030232330597
52.57573407534,-46.808474368877
49.0174365183666,-46.069790132578
46.0544887166385,-45.2125993513242
40.4080469475753,-45.7018255134633
37.7616522994483,-46.6851012791748
36.1799893601633,-45.5793708253022
31.6906106375827,-48.1726483628282
28.1715316087,-50.8154454493681
25.0022591590772,-54.2972582701594
23.3265169713432,-52.8664183814092
19.8883023611154,-52.8664183814092
19.747420721039,-52.5933460107705
