lon,lat
-24.76662148703563,-0.1235531531094409
-23.430094832695985,-0.1235531531094409
-22.09356817835635,-0.1235531531094409
-20.840574439912928,-0.0018521192847202
-19.671113617365748,0.1198489145400145
-18.167521131233656,0.2415499483647352
-16.967914557531714,-0.2485487232369081
-15.160336158969471,-0.1235531531094409
-13.82380950462982,-0.7320583222330868
-12.184172214633207,-0.982602239152584
-11.695564861736116,-5.283341052814244
-12.403749934393955,-7.425615182593148
-13.304035391648751,-9.60773105116172
-12.540009061299976,-12.176918356866572
-13.643602649581544,-12.91097187278224
-14.5350486955247,-13.1393680864916
-14.5060837925006,-13.9968794035588
-13.69690938948547,-17.321955941510858
-13.7587700571914,-16.0385258693964
-13.0227557599975,-17.4399927385118
-11.84923793901045,-19.19938945787276
-11.560539274873726,-22.01553973241562
-12.193979935028858,-22.776632698135295
-12.484375000111244,-22.95425649059657
-12.7698389483993,-25.8387817056929
-12.855574648724222,-28.142582328032415
-13.107350561508357,-30.34474287577943
-14.408539915903418,-34.19984262403338
-16.91142781146978,-35.94501396150047
-16.697077279288933,-37.5014440583881
-15.253505406057869,-38.437681252154114
-14.696472312267815,-44.661022504071184
-17.022339930944227,-42.40332682519486
-20.7392569761959,-40.7275984557646
-22.508524822651836,-38.91836556403784
-23.292265521467215,-37.59648370635759
-26.70324985185147,-35.48311748718913
-29.053158371170035,-34.01501045535779
-29.888749736496617,-33.029982743462185
-31.39091940922608,-29.785363638247027
-32.10934838314017,-30.746732262014483
-34.98306427879655,-30.866903339985413
-38.11802707405804,-30.386219028101685
-41.51423676892466,-26.901257766944667
-45.628875437705375,-26.78108668897373
-48.1663028626988,-27.7210647515826
-48.198236927141,-25.507817468969
-45.50326684237,-23.4195100608334
-41.5977321723536,-22.762698956149
-39.7734475391679,-19.3873695509481
-38.855328913007,-16.7926723244936
-38.8913932956731,-13.889625203764
-36.6941784174917,-10.893638008659
-34.8103877928053,-8.54787769824238
-36.131525530351325,-4.9720550334367175
-38.70373191652135,-3.7269109559266127
-36.98466414385401,-1.9001691340471751
-35.318652767601705,0.8525315506365985
-36.19132539325767,-0.0650353442579927
-34.34527109551104,0.7867363250474995
-33.13061807981963,2.810095451001416
-32.27321595109629,3.588310499445228
-31.48699219474998,3.7887456142992737
-31.0520052206696,2.17389268524085
-30.0046946799734,1.53756076363367
-28.5654195720923,1.4315133217754
-27.080345565741524,-0.2232784573978108
-26.019615225479036,-0.0018521192847202
