lon,lat
-27.0421365322142,-0.583189740954178
-25.7339551956834,-0.583189740954178
-22.7250775915891,-0.689226048246005
-19.8472846953072,-0.371119283212561
-17.62310570315,-0.689226048246005
-15.0067098629248,-0.689226048246005
-13.6968495214095,-1.32546775918992
-12.9118362240489,-1.32546775918992
-12.3770801197033,-3.12859274646084
-12.4903727880012,-4.72055057100655
-11.5613881593377,-5.46391447408929
-12.9707359389701,-7.37716244761302
-13.4695240868384,-8.6543717628699
-13.8018223697463,-11.1072166070251
-13.7726698328945,-12.0690778649029
-14.5350486955247,-13.1393680864916
-14.5060837925006,-13.9968794035588
-13.7678772250619,-15.8232577496199
-13.7587700571914,-16.0385258693964
-13.0227557599975,-17.4399927385118
-12.3847810621668,-19.278957524022
-12.048489351918,-20.3643378071264
-12.5546096450746,-23.0909519076649
-12.7925004494496,-23.6387210390985
-12.7698389483993,-25.8387817056929
-13.3317180735987,-27.610010038403
-12.9795301477811,-30.0634843861014
-14.6837441574431,-33.5607343283429
-17.0503939815096,-35.1574012090621
-16.2926702477269,-38.6200093419908
-14.9467797747269,-41.0812548820019
-15.3456234784126,-41.6722720004712
-16.9211007138104,-43.0991181211598
-20.7392569761959,-40.7275984557646
-22.7113518924312,-38.2710370299161
-25.3313812597758,-36.3051041130441
-27.7215605808271,-34.7000352649864
-28.5932242117489,-32.8798790391697
-30.9041082259212,-31.9751221128775
-30.9856541620143,-29.1687639880309
-32.7402826004416,-30.624235263983
-35.1977285979646,-30.9612745895574
-38.7947980362658,-30.9612745895574
-41.3180070324935,-26.7230887578008
-45.6558850970392,-26.6124097512562
-48.1663028626988,-27.7210647515826
-48.198236927141,-25.507817468969
-45.50326684237,-23.4195100608334
-41.5977321723536,-22.762698956149
-39.7734475391679,-19.3873695509481
-38.855328913007,-16.7926723244936
-38.8913932956731,-13.889625203764
-36.6941784174917,-10.893638008659
-34.8103877928053,-8.54787769824238
-35.3053284322585,-5.46391447408929
-38.1739981948494,-3.55300477906977
-36.7273194338049,-2.38602468099326
-35.6759778896291,-0.371119283212561
-36.1526668018665,0.265084854436475
-34.4531810603955,1.4315133217754
-33.4097375762893,3.02250037283283
-32.2356720526927,4.61438175023017
-31.4472399932672,3.76523828112558
-31.0520052206696,2.17389268524085
-30.0046946799734,1.53756076363367
-28.5654195720923,1.4315133217754
-27.2571935949993,0.795263260053917
-26.4723831854801,-0.053016901316285
