File,Section,Year,Ref,Comment
./Data/corrected_sections/A13.5\1984_316N19840111_ctd.nc,A13.5,1984,IPTS-68, 0 
./Data/corrected_sections/A13.5\1995_35A3CITHER3_2_ctd.nc,A13.5,1995,ITS-90,"A13.5, but section_id = [AJAX]" 
./Data/corrected_sections/A13.5\1995_35A3CITHER3_2_ctd.nc,A13.5,1995,ITS-90, 0 
./Data/corrected_sections/A13.5\2010_33RO20100308_ctd.nc,A13.5,2010,ITS-90, 0 
./Data/corrected_sections/A16\1988_32OC202_1_ctd.nc,A16,1988,IPTS-68, 0 
./Data/corrected_sections/A16\1989_318MHYDROS4_ctd.nc,A16,1989,ITS-90, 0 
./Data/corrected_sections/A16\1989_318MSAVE5_ctd.nc,A16,1989,ITS-90, 0 
./Data/corrected_sections/A16\1993_3175MB93_ctd.nc,A16,1993,ITS-90,"Shared with AR21, but section_id = [AR21b], labeled as A16" 
./Data/corrected_sections/A16\1993_3175MB93_ctd.nc,A16,1993,ITS-90, 0 
./Data/corrected_sections/A16\1995_74JC10_1_ctd.nc,A16,1995,ITS-90,"Shared with A23, but section_id = [A23], labeled as A16" 
./Data/corrected_sections/A16\1995_74JC10_1_ctd.nc,A16,1995,ITS-90, 0 
./Data/corrected_sections/A16\1998_74DI233_ctd.nc,A16,1998,ITS-90,"Shared with AR21, but section_id = [AR21], labeled as A16" 
./Data/corrected_sections/A16\1998_74DI233_ctd.nc,A16,1998,ITS-90, 0 
./Data/corrected_sections/A16\1999_74JC19990315_ctd.nc,A16,1999,ITS-90,"Shared with A23 and ALBATROSS, but section_id = [ALBATROSS], labeled as A16, qc = 0 = not assigned" 
./Data/corrected_sections/A16\1999_74JC19990315_ctd.nc,A16,1999,ITS-90, 0 
./Data/corrected_sections/A16\2003_33RO200306_01_ctd.nc,A16,2003,ITS-90, 0 
./Data/corrected_sections/A16\2005_33RO200501_ctd.nc,A16,2005,ITS-90, 0 
./Data/corrected_sections/A16\2011_74DI20110715_ctd.nc,A16,2011,ITS-90, 0 
./Data/corrected_sections/A16\2013_2014_33RO20131223_ctd.nc,A16,2013,ITS-90, 0 
./Data/corrected_sections/A16\2013_2014_33RO20131223_ctd.nc,A16,2014,ITS-90, 0 
./Data/corrected_sections/A16\2013_33RO20130803_ctd.nc,A16,2013,ITS-90, 0 
./Data/corrected_sections/A16\2023_33RO20230306_ctd.nc,A16,2023,ITS-90,"qc = 1 = uncalibrated" 
./Data/corrected_sections/A16\2023_33RO20230306_ctd.nc,A16,2023,ITS-90, 0 
./Data/corrected_sections/A16\2023_33RO20230413_ctd.nc,A16,2023,ITS-90,"qc = 1 = uncalibrated" 
./Data/corrected_sections/A16\2023_33RO20230413_ctd.nc,A16,2023,ITS-90, 0 
./Data/corrected_sections/A20\1997_316N151_3_ctd.nc,A20,1997,ITS-90, 0 
./Data/corrected_sections/A20\2003_316N200309_ctd.nc,A20,2003,ITS-90, 0 
./Data/corrected_sections/A20\2012_33AT20120419_ctd.nc,A20,2012,ITS-90, 0 
./Data/corrected_sections/A20\2021_325020210316_ctd.nc,A20,2021,ITS-90, 0 
./Data/corrected_sections/A22\1997_316N151_4_ctd.nc,A22,1997,ITS-90, 0 
./Data/corrected_sections/A22\2003_316N200310_ctd.nc,A22,2003,ITS-90, 0 
./Data/corrected_sections/A22\2012_33AT20120324_ctd.nc,A22,2012,ITS-90, 0 
./Data/corrected_sections/A22\2021_325020210420_ctd.nc,A22,2021,ITS-90, 0 
./Data/corrected_sections/I03\1995_316N145_8_ctd.nc,I03,1995,ITS-90, 0 
./Data/corrected_sections/I03\2003_2004_49NZ200312_5_ctd.nc,I03,2003,ITS-90, 0 
./Data/corrected_sections/I03\2003_2004_49NZ200312_5_ctd.nc,I03,2004,ITS-90, 0 
./Data/corrected_sections/I04\1995_316N145_9_ctd.nc,I04,1995,ITS-90, 0 
./Data/corrected_sections/I04\2003_2004_49NZ200312_5_ctd.nc,I04,2003,ITS-90, 0 
./Data/corrected_sections/I04\2003_2004_49NZ200312_5_ctd.nc,I04,2004,ITS-90, 0 
./Data/corrected_sections/I05\1987_74AB29_1_ctd.nc,I05,1987,IPTS-68, 0 
./Data/corrected_sections/I05\1995_316N145_7_ctd.nc,I05,1995,ITS-90, 0 
./Data/corrected_sections/I05\1995_316N145_9_ctd.nc,I05,1995,ITS-90, 0 
./Data/corrected_sections/I05\2000_09FA20000926_ctd.nc,I05,2000,ITS-90,"Shared with I05, I10 and ISSO3, but section_id = [I02], labeled as I05" 
./Data/corrected_sections/I05\2000_09FA20000926_ctd.nc,I05,2000,ITS-90, 0 
./Data/corrected_sections/I05\2002_74AB20020301_ctd.nc,I05,2002,IPTS-68, 0 
./Data/corrected_sections/I05\2009_33RR20090320_ctd.nc,I05,2009,ITS-90, 0 
./Data/corrected_sections/I05\2023_33RR20230722_ctd.nc,I05,2023,ITS-90, 0 
./Data/corrected_sections/I06\1993_35MFCIVA_1_ctd.nc,I06,1993,0, 0 
./Data/corrected_sections/I06\1996_35MF103_1_ctd.nc,I06,1996,0, 0 
./Data/corrected_sections/I06\2008_33RR20080204_ctd.nc,I06,2008,ITS-90, 0 
./Data/corrected_sections/I06\2019_325020190403_ctd.nc,I06,2019,ITS-90, 0 
./Data/corrected_sections/I08\1994_1995_316N145_5_ctd.nc,I08,1994,ITS-90, 0 
./Data/corrected_sections/I08\1994_1995_316N145_5_ctd.nc,I08,1995,ITS-90, 0 
./Data/corrected_sections/I08\1995_316N145_7_ctd.nc,I08,1995,ITS-90, 0 
./Data/corrected_sections/I08\2003_09AR20030103_ctd.nc,I08,2003,0, 0 
./Data/corrected_sections/I08\2007_33RR20070204_ctd.nc,I08,2007,ITS-90, 0 
./Data/corrected_sections/I08\2016_33RR20160208_ctd.nc,I08,2016,ITS-90, 0 
./Data/corrected_sections/I08\2019_49NZ20191205_ctd.nc,I08,2019,ITS-90, 0 
./Data/corrected_sections/I08\2024_325020240221_ctd.nc,I08,2024,ITS-90, 0 
./Data/corrected_sections/I09S\1994_1995_316N145_5_ctd.nc,I09S,1994,ITS-90, 0 
./Data/corrected_sections/I09S\1994_1995_316N145_5_ctd.nc,I09S,1995,ITS-90, 0 
./Data/corrected_sections/I09S\2004_2005_09AR20041223_ctd.nc,I09S,2004,ITS-90, 0 
./Data/corrected_sections/I09S\2004_2005_09AR20041223_ctd.nc,I09S,2005,ITS-90, 0 
./Data/corrected_sections/I09S\2012_09AR20120105_ctd.nc,I09S,2012,ITS-90, 0 
./Data/corrected_sections/I09S\2012_49NZ20121128_ctd.nc,I09S,2012,ITS-90, 0 
./Data/corrected_sections/I09S\2024_096U20240101_ctd.nc,I09S,2024,ITS-90, 0 
./Data/corrected_sections/P01\1985_31TTTPS47_ctd.nc,P01,1985,ITS-90, 0 
./Data/corrected_sections/P01\1993_90BM9316_1_ctd.nc,P01,1993,ITS-90, 0 
./Data/corrected_sections/P01\1999_18DD199905_1_ctd.nc,P01,1999,ITS-90, 0 
./Data/corrected_sections/P01\1999_49KA199905_1_ctd.nc,P01,1999,ITS-90, 0 
./Data/corrected_sections/P01\1999_49NZ199905_1_ctd.nc,P01,1999,ITS-90, 0 
./Data/corrected_sections/P01\2007_49MR0706_1_ctd.nc,P01,2007,ITS-90, 0 
./Data/corrected_sections/P01\2007_49NZ20070724_ctd.nc,P01,2007,ITS-90, 0 
./Data/corrected_sections/P01\2011_49UP20110515_ctd.nc,P01,2011,ITS-90, 0 
./Data/corrected_sections/P01\2014_49NZ20140717_ctd.nc,P01,2014,ITS-90, 0 
./Data/corrected_sections/P01\2021_49NZ20210713_ctd.nc,P01,2021,ITS-90, 0 
./Data/corrected_sections/P02\1993_492SSY9310_1_ctd.nc,P02,1993,ITS-90, 0 
./Data/corrected_sections/P02\1994_492SSY9411_1_ctd.nc,P02,1994,ITS-90, 0 
./Data/corrected_sections/P02\1994_49EWBO9401_1_ctd.nc,P02,1994,ITS-90, 0 
./Data/corrected_sections/P02\1994_49K6KY9401_1_ctd.nc,P02,1994,ITS-90, 0 
./Data/corrected_sections/P02\2004_318M200406_ctd.nc,P02,2004,ITS-90, 0 
./Data/corrected_sections/P02\2013_318M20130321_ctd.nc,P02,2013,ITS-90, 0 
./Data/corrected_sections/P02\2022_33RR20220430_ctd.nc,P02,2022,ITS-90, 0 
./Data/corrected_sections/P02\2022_33RR20220613_ctd.nc,P02,2022,ITS-90, 0 
./Data/corrected_sections/P03\1985_31TTTPS24_1_ctd.nc,P03,1985,ITS-90, 0 
./Data/corrected_sections/P03\1985_31TTTPS24_2_ctd.nc,P03,1985,ITS-90, 0 
./Data/corrected_sections/P03\2005_2006_49NZ20051127_ctd.nc,P03,2005,ITS-90, 0 
./Data/corrected_sections/P03\2005_2006_49NZ20051127_ctd.nc,P03,2006,ITS-90, 0 
./Data/corrected_sections/P03\2005_49NZ20051031_ctd.nc,P03,2005,ITS-90, 0 
./Data/corrected_sections/P03\2013_49UP20130619_ctd.nc,P03,2013,ITS-90, 0 
./Data/corrected_sections/P03\2021_49UP20210719_2_ctd.nc,P03,2021,ITS-90, 0 
./Data/corrected_sections/P06\1992_316N138_3_ctd.nc,P06,1992,ITS-90, 0 
./Data/corrected_sections/P06\1992_316N138_4_ctd.nc,P06,1992,ITS-90, 0 
./Data/corrected_sections/P06\1992_316N138_5_ctd.nc,P06,1992,ITS-90, 0 
./Data/corrected_sections/P06\2003_49NZ200308_ctd.nc,P06,2003,ITS-90, 0 
./Data/corrected_sections/P06\2003_49NZ200309_2_ctd.nc,P06,2003,ITS-90, 0 
./Data/corrected_sections/P06\2009_318M20091121_ctd.nc,P06,2009,ITS-90, 0 
./Data/corrected_sections/P06\2010_318M20100105_ctd.nc,P06,2010,ITS-90, 0 
./Data/corrected_sections/P06\2017_320620170703_ctd.nc,P06,2017,ITS-90, 0 
./Data/corrected_sections/P06\2017_320620170820_ctd.nc,P06,2017,ITS-90, 0 
./Data/corrected_sections/P10\1993_3250TN026_1_ctd.nc,P10,1993,ITS-90, 0 
./Data/corrected_sections/P10\2005_49NZ20050525_ctd.nc,P10,2005,ITS-90, 0 
./Data/corrected_sections/P10\2011_2012_49NZ20111220_ctd.nc,P10,2011,ITS-90, 0 
./Data/corrected_sections/P10\2011_2012_49NZ20111220_ctd.nc,P10,2012,ITS-90, 0 
./Data/corrected_sections/P10\2014_49NZ20140709_ctd.nc,P10,2014,ITS-90, 0 
./Data/corrected_sections/P10\2014_49UP20140609_ctd.nc,P10,2014,ITS-90, 0 
./Data/corrected_sections/P14\1992_316N138_7_ctd.nc,P14,1992,ITS-90, 0 
./Data/corrected_sections/P14\1993_325023_1_ctd.nc,P14,1993,ITS-90, 0 
./Data/corrected_sections/P14\1996_31DSCG96_1_ctd.nc,P14,1996,ITS-90, 0 
./Data/corrected_sections/P14\2007_49MR0706_1_ctd.nc,P14,2007,ITS-90, 0 
./Data/corrected_sections/P14\2007_49NZ20071122_ctd.nc,P14,2007,ITS-90, 0 
./Data/corrected_sections/P14\2012_49NZ20121128_ctd.nc,P14,2012,ITS-90, 0 
./Data/corrected_sections/P14\2023_49NZ20231006_ctd.nc,P14,2023,ITS-90, 0 
./Data/corrected_sections/P15\1990_3175CG90_1_ctd.nc,P15,1990,IPTS-68, 0 
./Data/corrected_sections/P15\1994_18DD9403_2_ctd.nc,P15,1994,ITS-90, 0 
./Data/corrected_sections/P15\1996_31DSCG96_1_ctd.nc,P15,1996,ITS-90, 0 
